fid,IMG_0196_1_reflectance_1,IMG_0196_1_reflectance_2,IMG_0196_1_reflectance_3,IMG_0196_1_reflectance_4,IMG_0196_1_reflectance_5,IMG_0196_1_reflectance_6,20240909_week8_orthomosaic_metacali_1,20240909_week8_orthomosaic_metacali_2,20240909_week8_orthomosaic_metacali_3,20240909_week8_orthomosaic_metacali_4,20240909_week8_orthomosaic_metacali_5
1,,407,777,,1216,3170,0.08873,0.22903,0.06716,0.37566,0.60325
2,194,873,1242,34,1868,4363,0.09744,0.18399,0.06859,0.31143,0.57787
3,,231,547,,1008,2455,0.06339,0.1514,0.04914,0.24386,0.50416
4,979,1863,2174,1153,3192,5884,0.25312,0.40438,0.18462,0.56164,0.86735
5,216,963,1595,111,2241,5120,0.03337,0.0877,0.02976,0.19877,0.47805
6,98,821,1063,,2028,4747,0.14415,0.35813,0.1031,0.61168,1.02597
7,,164,425,,855,2318,0.02971,0.06706,0.02595,0.137,0.36757
8,60,534,1060,4,1482,3436,0.06601,0.13161,0.05073,0.24748,0.45663
9,236,1047,1494,161,2419,4591,0.10716,0.24388,0.08589,0.37032,0.61518
10,303,915,1366,86,2130,5306,0.0533,0.12585,0.05137,0.2476,0.60633
11,,435,714,,1427,3116,0.04721,0.10596,0.02702,0.23358,0.52022
12,499,1356,1772,436,2124,4298,0.13742,0.2966,0.09489,0.46204,0.69255
13,,367,763,,1162,3236,0.04765,0.14743,0.04185,0.29185,0.64324
14,362,986,971,192,1865,3709,0.14776,0.194,0.07357,0.31206,0.54458
15,844,1672,1976,761,3320,6493,0.25332,0.41497,0.18428,0.69947,0.9945
16,,492,997,,1590,4005,0.08064,0.15321,0.0474,0.33114,0.61823
17,665,1301,1288,522,2410,4824,0.13608,0.27849,0.104,0.39377,0.68343
18,677,1536,1881,754,3427,5694,0.15189,0.30126,0.10583,0.55854,0.88688
19,517,875,1017,639,2081,3725,0.10415,0.19962,0.1266,0.37031,0.56696
